State Imports by HS Commodities,,,,,,,
Current date: 07/30/2025 1:59 PM (Eastern Daylight Time),,,,,,,
State,Commodity,Country,Time,Vessel Value ($US),Customs Containerized Vessel Value (Gen) ($US),Vessel SWT (kg),Containerized Vessel SWT (Gen) (kg)
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Dec-23,"592,745","592,745","114,214","114,214"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Jan-24,"930,348","930,348","240,148","240,148"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Feb-24,"305,129","305,129","76,163","76,163"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Mar-24,"81,743","81,743","17,044","17,044"
Iowa,02 Meat And Edible Meat Offal,Australia and Oceania,Apr-24,"40,960","40,960","13,984","13,984"
Iowa,02 Meat And Edible Meat Offal,Europe,May-08,"56,040","56,040","3,459","3,459"
Iowa,02 Meat And Edible Meat Offal,Europe,Feb-11,"115,021","115,021","23,917","23,917"
Iowa,02 Meat And Edible Meat Offal,Europe,Mar-11,"123,096","123,096","24,896","24,896"
Iowa,02 Meat And Edible Meat Offal,Europe,Apr-11,"304,320","304,320","99,812","99,812"
Iowa,02 Meat And Edible Meat Offal,Europe,May-11,"61,782","61,782","24,999","24,999"
Iowa,02 Meat And Edible Meat Offal,Europe,Jun-11,"120,538","120,538","24,971","24,971"
Iowa,02 Meat And Edible Meat Offal,Europe,Aug-11,"123,818","123,818","25,034","25,034"
Iowa,02 Meat And Edible Meat Offal,Europe,Nov-11,"123,190","123,190","24,776","24,776"
Iowa,02 Meat And Edible Meat Offal,Europe,Jan-13,"128,653","128,653","23,801","23,801"
Iowa,02 Meat And Edible Meat Offal,Europe,May-14,"102,153","102,153","25,020","25,020"
Iowa,02 Meat And Edible Meat Offal,Europe,Jun-20,"186,631","186,631","26,133","26,133"
Iowa,02 Meat And Edible Meat Offal,Europe,Oct-20,"188,732","188,732","26,450","26,450"
Iowa,02 Meat And Edible Meat Offal,Europe,Nov-20,"197,841","197,841","27,832","27,832"
Iowa,02 Meat And Edible Meat Offal,Europe,Dec-20,"353,587","353,587","47,056","47,056"
Iowa,02 Meat And Edible Meat Offal,Europe,Apr-21,"201,809","201,809","27,034","27,034"
Iowa,02 Meat And Edible Meat Offal,Europe,Jun-21,"177,246","177,246","24,949","24,949"
Iowa,02 Meat And Edible Meat Offal,Europe,Aug-21,"225,681","225,681","25,773","25,773"
Iowa,02 Meat And Edible Meat Offal,Europe,Oct-21,"782,736","782,736","80,189","80,189"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Jan-11,"65,612","65,612","18,909","18,909"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Feb-11,"72,236","72,236","41,688","41,688"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,May-12,"88,196","88,196","19,257","19,257"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Sep-12,"79,769","79,769","18,867","18,867"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Dec-12,"79,628","79,628","18,882","18,882"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,May-16,"163,907","163,907","38,425","38,425"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Jul-16,"102,666","102,666","19,360","19,360"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Aug-16,"84,309","84,309","19,270","19,270"
